Model,Date,Average Price,Average Year Prices,Company ,Average Yearly Prices of New Models,Year
ReSound Key 4,2021,"$2,015","$1,714",ReSound,"1,714",2021
ReSound Key 3,2021,"$1,614",,ReSound,3210,2020
ReSound Key 2,2021,"$1,514",,ReSound,3257,2019
ReSound One 9,2020,"$3,575","$3,210",ReSound,3158,2018
ReSound One 7,2020,"$3,542",,Widex,2697,2020
ReSound One 5,2020,"$2,829",,Widex,2627,2018
ReSound One 4,2020,"$2,894",,Widex,2505,2016
ReSound Enzo Q 9,2019,"$3,984","$3,257",Starkey,2983,2021
ReSound Enzo Q 5,2019,"$2,391",,Starkey,3247,2018
ReSound Enzo Q 7,2019,"$3,397",,Starkey,3038,2017
ReSound LiNX Quattro 9,2018,"$3,579","$3,158",Signia,3069,2021
ReSound LiNX Quattro 5,2018,"$2,462",,Signia,2454,2020
ReSound LiNX Quattro 7,2018,"$3,433",,Phonax,3764,2022
Widex,2020,"$3,597","$2,697",Phonax,2696,2021
Widex MOMENT 330,,"$2,839",,Phonax,2837,2020
Widex MOMENT 220,,"$2,403",,Phonax,2700,2019
Widex MOMENT 110,,"$1,950",,Oticon,2656,2020
Widex,2018,"$3,436","$2,627",Oticon,2975,2019
Widex EVOKE 330,,"$2,858",,Oticon,2087,2018
Widex EVOKE 220,,"$2,338",,,,
Widex EVOKE 110,,"$1,875",,,,
Widex,2016,"$3,183","$2,505",,,
Widex BEYOND 330,,"$2,939",,,,
Widex BEYOND 220,,"$2,244",,,,
Widex BEYOND 110,,"$1,653",,,,
Starkey Evolv AI 2400,2021,"$3,621","$2,983",,,
Starkey Evolv AI 2000,,"$3,274",,,,
Starkey Evolv AI 1600,,"$2,765",,,,
Starkey Evolv AI 1200,,"$2,272",,,,
Starkey Livio AI,2018,"$4,375","$3,247",,,
Starkey Livio 2400,,"$3,866",,,,
Starkey Livio 2000,,"$3,740",,,,
Starkey Livio 1600,,"$3,224",,,,
Starkey Livio 1200,,"$2,269",,,,
Starkey Livio 1000,,"$2,009",,,,
Starkey Halo iQ i2400,2017,"$3,342","$3,038",,,
Starkey Halo iQ i2000,,"$3,353",,,,
Starkey Halo iQ i1600,,"$2,419",,,,
Signia Pure Charge&Go AX 7AX,2021,"$3,636","$3,069",,,
Signia Pure Charge&Go AX 5AX,,"$3,119",,,,
Signia Pure Charge&Go AX 3AX,,"$2,451",,,,
Signia Styletto X 7X,2020,"$3,401","$2,454",,,
Signia Styletto X 5X,,"$2,787",,,,
Signia Styletto X 3X,,"$2,341",,,,
Signia Styletto X 2X,,"$1,931",,,,
Signia Styletto X 1X,,"$1,808",,,,
Phonak Virto Paradise P90,2022,"$4,065","$3,764",,,
Phonak Virto Paradise P70,,"$3,750",,,,
Phonak Virto Paradise P50,,"$3,477",,,,
Phonak Naída Paradise P90,2021,"$3,531","$2,696",,,
Phonak Naída Paradise P70,,"$3,011",,,,
Phonak Naída Paradise P50,,"$2,353",,,,
Phonak Naída Paradise P30,,"$1,889",,,,
Phonak Audéo Paradise P90,2020,"$3,621","$2,837",,,
Phonak Audéo Paradise P70,,"$3,105",,,,
Phonak Audéo Paradise P50,,"$2,584",,,,
Phonak Audéo Paradise P30,,"$2,038",,,,
Phonak Bolero M M90,2019,"$3,295","$2,700",,,
Phonak Bolero M M70,,"$2,810",,,,
Phonak Bolero M M50,,"$2,424",,,,
Phonak Bolero M M30,,"$2,271",,,,
Oticon More 1,2020,"$3,698","$2,656",,,
Oticon More 2,,"$3,094",,,,
Oticon More 3,,"$2,697",,,,
Oticon Ruby 1,,"$2,079",,,,
Oticon Ruby 2,,"$1,711",,,,
Oticon Xceed 1,2019,"$3,529","$2,975",,,
Oticon Xceed 2,,"$2,913",,,,
Oticon Xceed 3,,"$2,547",,,,
Oticon Opn S 1,,"$3,559",,,,
Oticon Opn S 2,,"$2,888",,,,
Oticon Opn S 3,,"$2,415",,,,
Oticon Siya 1,2018,"$2,365","$2,087",,,
Oticon Siya 2,,"$1,808",,,,